season	ep	rate
1	1	100
1	2	100
1	3	86 
1	4	100
1	5	95 
1	6	100
1	7	100
1	8	100
1	9	100
1	10	100
2	1	100
2	2	89 
2	3	100
2	4	97 
2	5	96 
2	6	100
2	7	96 
2	8	100
2	9	100
2	10	92 
3	1	98 
3	2	89 
3	3	92 
3	4	100
3	5	100
3	6	83 
3	7	77 
3	8	97 
3	9	100
3	10	100
4	1	95 
4	2	100
4	3	96 
4	4	96 
4	5	98 
4	6	96 
4	7	100
4	8	96 
4	9	94 
4	10	98 
5	1	96 
5	2	96 
5	3	100
5	4	96 
5	5	96 
5	6	54 
5	7	83 
5	8	100
5	9	83 
5	10	92 
6	1	86 
6	2	87 
6	3	87 
6	4	100
6	5	98 
6	6	88 
6	7	98 
6	8	85 
6	9	98 
6	10	99 
7	1	93 
7	2	96 
7	3	89 
7	4	97 
7	5	95 
7	6	84 
7	7	87 
8	1	92 
8	2	88 
8	3	74 
8	4	57 
